,title,text,word,link
0,고양이는 집사가 안 보여도 어디 있는지 안다,"['kr', '\n\n다카기 사호 일본 교토대 박사과정생 등 일본 연구자들은 실험을 통해 고양이가 소리를 듣고서 보이지 않는 주인의 위치를 추적할 수 있음을 보였다', ' 고양이가 가장 크게 놀란 것은 한쪽 스피커에서 주인이 자기 이름을 부르다 갑자기 멀리 떨어진 스피커에서 같은 소리가 났을 때였다']","[['고양이', 579], ['소리', 456], ['주인', 325], ['능력', 214], ['놀라', 138], ['보이', 135], ['연구', 123], ['인지', 119], ['움직이', 118], ['베이', 118], ['목소리', 111], ['위치', 108], ['떨어지', 99], ['스피커', 96], ['사회', 93], ['이름', 93], ['제공', 91], ['픽사', 91], ['결과', 87], ['방향', 87], ['지도', 82], ['실험', 80]]",https://news.google.com/articles/CBMiRmh0dHBzOi8vd3d3LmhhbmkuY28ua3IvYXJ0aS9hbmltYWxwZW9wbGUvY29tcGFuaW9uX2FuaW1hbC8xMDE4OTI3Lmh0bWzSAQA?hl=ko&gl=KR&ceid=KR%3Ako
1,"아파트 내 길고양이 먹이주기, 과태료 가능한가?","['\n\n이렇듯 입주민과 캣맘 사이의 갈등이 잦아지면서 최근에는 관리규약에 길고양이 관련 조항을 넣는 아파트들이 많아지고 있다', '\n\n정연채 법무법인 산하 변호사는 “소음, 위생 문제 등으로 주거생활의 질서나 안전을 해칠 위험이 있다면 아파트 관리규약으로 제한할 수 있다”며 “단 관리규약 변경 시 입주민 과반수 동의를 얻어야 한다”고 말했다', '']","[['입주민', 346], ['아파트', 346], ['길고양이', 274], ['규약', 206], ['고양이', 160], ['관리', 147], ['사람', 125], ['전화', 111], ['아파트', 106], ['고양이', 103], ['먹이', 98], ['위하', 97], ['달아나', 94], ['고양이 먹이', 91], ['공동', 91], ['만원', 86], ['협박', 85]]",https://news.google.com/articles/CBMiOWh0dHBzOi8vd3d3LmhhcHQuY28ua3IvbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTE1NDE2OdIBAA?hl=ko&gl=KR&ceid=KR%3Ako
2,길고양이와의 공존…공공 급식소 설치 법적 근거 마련,"['kr)\n\n\n\n연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23\n\n\n\n<저작권자(c) 연합뉴스, 무단 전재-재배포 금지>', '\n\n\n\n<이은경 / 경기도 동물보호과장> ""급식소에 있는 길고양이를 대상으로 중성화 수술을 진행함으로써 적정 개체 수가 유지되어 길고양이와의 공존이 가능해지는…""\n\n\n\n경기도가 선택한 길고양이와의 공존이 어떤 성과를 거두게 될지 주목됩니다', '\n\n\n\n공원 등에 길고양이 공공 급식소를 설치할 수 있는 법적근거를 마련한 겁니다']","[['공유', 414], ['길고양이', 310], ['급식소', 165], ['위하', 131], ['경기도', 131], ['공존', 124], ['네이버', 112], ['설치', 112], ['페이스북', 112], ['마련', 108], ['개체', 101], ['연합뉴스TV', 100], ['강창구', 100], ['근거', 90], ['사료', 74], ['잠자리', 73], ['제공', 71], ['관리', 66], ['카카오', 64], ['스토리', 64], ['공공', 63], ['블로그', 63], ['트위터', 62], ['밴드', 61], ['메신저', 61], ['사람', 58]]",https://news.google.com/articles/CBMiL2h0dHBzOi8vd3d3LnluYS5jby5rci92aWV3L01ZSDIwMjExMjAzMDEwMTAwMDM40gExaHR0cHM6Ly9tLnluYS5jby5rci9hbXAvdmlldy9NWUgyMDIxMTIwMzAxMDEwMDAzOA?hl=ko&gl=KR&ceid=KR%3Ako
3,데일리벳,"['\n\n당초 농식품부는 2kg 미만의 고양이나 수태·포유가 확인된 개체도 수의사 판단 하에 중성화수술을 할 수 있도록 개정하려 했지만, 길고양이 보호단체의 반발에 부딪히며 무산됐다', '’전면거부도 검토해야’ 성토\n\n개정 TNR 실시요령은 수의사가 중성화수술을 실시하기 전에 포획된 길고양이가 수태 혹은 포유 중인지 확인하고, 수태·포유 중인 개체는 즉각 방사하도록 했다', '\n\n수의사의 판단 여지를 주지 않는 농식품부의 고시 개정 행태가 현재 TNR 사업이 가진 문제를 그대로 드러낸다는 것이 이날 나온 지적이다']","[['수의사', 263], ['문제', 233], ['포유', 174], ['개체', 139], ['수술', 137], ['방사', 137], ['수태', 135], ['수의학', 127], ['개정', 120], ['실시', 117], ['판단', 113], ['의견', 112], ['거부', 108], ['부분', 105], ['지적', 103], ['식품', 100], ['성화', 96], ['수술', 94], ['전문가', 94], ['확인', 90], ['여부', 86], ['검토', 84]]",https://news.google.com/articles/CBMiMmh0dHBzOi8vd3d3LmRhaWx5dmV0LmNvLmtyL25ld3MvYXNzb2NpYXRpb24vMTU3MTA50gEA?hl=ko&gl=KR&ceid=KR%3Ako
4,별이 된 고양이들의 마지막 밤…'밤을 달리는 고양이',"['[애니멀피플]\n\n고양이들이 세상을 떠나는 마지막 순간, 어떤 일이 벌어질까\n\n‘야옹서가’ 고경원 대표 이별 앞둔 이들 위로할 그림책 출간\n\n지난달 제13회 한국 고양이 날 기념전으로 서울시 용산구 복합문화공간 ‘노들서가’에서 전시된 ‘밤을 달리는 고양이’ 일러스트', ' 야옹서가 제공\n\n이야기는 작은 전시장 안에 있던 전통 상여조각인 꼭두소녀와 거대 고양이가 ‘별’의 소리를 듣고 여정을 떠나는 것에서 시작된다', '']","[['고양이', 421], ['떠나', 259], ['달리', 154], ['제공', 147], ['존재', 129], ['길고양이', 113], ['고양이', 110], ['대표', 109], ['서가', 104], ['출간', 98], ['그림', 96], ['이별', 92], ['누렁이', 91], ['만나', 90], ['위로', 89], ['소녀', 88], ['순간', 87], ['앞두', 82], ['사랑', 81], ['경원', 80], ['이야기', 74]]",https://news.google.com/articles/CBMiRmh0dHBzOi8vd3d3LmhhbmkuY28ua3IvYXJ0aS9hbmltYWxwZW9wbGUvY29tcGFuaW9uX2FuaW1hbC8xMDE4ODkwLmh0bWzSAQA?hl=ko&gl=KR&ceid=KR%3Ako
5,길고양이 20마리 연쇄 살해? 알고보니 로드킬,"[' ⓢ부산경찰청\n\n저작권자 © 뉴스프리존 무단전재 및 재배포 금지', '\n\n차량에 치이는 고양이 ⓢ부산경찰청\n\n부산경찰청은 지난 11월 22일 사상경찰서에 접수된 길고양이 학대 살해 사건은 ""학대가 아닌, 승용차에 치여 죽은 것으로 확인됐다""고 밝혔다', '[부산=뉴스프리존] 최슬기 기자= 부산에서 발생한 길고양이 20마리 연쇄살해 사건은 사실이 아닌 것으로 밝혀졌다']","[['고양이', 258], ['부산', 155], ['학대', 150], ['살해', 121], ['마리', 117], ['승용차', 114], ['사건', 114], ['경찰청', 106], ['치이', 105], ['밝히', 104], ['뉴스', 91], ['프리', 86], ['수사', 85], ['진행', 85], ['접수', 83], ['골목', 82], ['길고양이', 81], ['쓰러지', 73], ['연쇄', 67], ['확인', 64], ['경찰', 59], ['차량', 52]]",https://news.google.com/articles/CBMiQGh0dHA6Ly93d3cubmV3c2ZyZWV6b25lLmNvLmtyL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz0zNDkyODnSAQA?hl=ko&gl=KR&ceid=KR%3Ako
6,"전남 완도, 불에 탄 길고양이 발견…잇따른 동물학대","['\n\n16일 완도경찰서와 목포고양이보호연합의 말을 종합하면 전남 완도읍에 거주하는 60대 여성 ㄱ씨는 12일 오전 집 앞 밭고랑에서 평소 먹이를 주던 생후 3개월 고양이가 얼굴에 화상을 입은 채 신음하고 있는 모습을 발견했다', ' 목포고양이보호연합 제공\n\n전남 완도에서 얼굴이 불에 탄 새끼 길고양이가 발견돼 경찰이 수사에 착수했다', 'kr']","[['고양이', 254], ['얼굴', 202], ['화상', 159], ['연합', 158], ['보호', 155], ['발견', 150], ['전남', 147], ['목포', 131], ['길고양이', 107], ['신고', 99], ['경찰', 94], ['수사', 93], ['학대', 91], ['새끼', 71], ['심하', 70], ['완도', 61], ['지역', 56], ['완도경찰서', 55]]",https://news.google.com/articles/CBMiM2h0dHBzOi8vd3d3LmhhbmkuY28ua3IvYXJ0aS9hcmVhL2hvbmFtLzEwMTk1NjQuaHRtbNIBAA?hl=ko&gl=KR&ceid=KR%3Ako
7,"""왜 고양이 밥 못 주게 해?""...국립공원에서 캣맘 행패","['\n\n\n\n북한산 국립공단 측은 현재 국립공원 등에 서식하는 들고양이 대부분이 반려동물로 도입된 외래종으로 생태 교란 우려가 있는 만큼 공단 직원의 계도에 잘 따라 달라고 당부했습니다', ' 안경 끼워!]\n\n\n\n지난달 2일, 40대 여성이 고양이에게 먹이를 주다가 공단 직원이 제지하자 욕설과 폭행 등 온갖 행패를 부린 겁니다', 'kr\n\n[저작권자(c) YTN & YTN plus 무단전재 및 재배포 금지]']","[['직원', 288], ['여성', 206], ['먹이', 171], ['국립공원', 161], ['공단', 155], ['교란', 142], ['안경', 141], ['생태', 138], ['고양이', 98], ['들고양이', 91], ['행위', 86], ['개체', 83], ['폭행', 82], ['증가', 81], ['행패', 79], ['우려', 78], ['공원', 73], ['북한산', 72], ['제지', 71], ['제보', 70], ['포유류', 70], ['경찰', 69]]",https://news.google.com/articles/CBMiMWh0dHBzOi8vd3d3Lnl0bi5jby5rci9fbG4vMDEwM18yMDIxMTEyMDA1MjQxNzAyODPSAUNodHRwczovL20ueXRuLmNvLmtyL25ld3Nfdmlldy5hbXAucGhwP3BhcmFtPTAxMDNfMjAyMTExMjAwNTI0MTcwMjgz?hl=ko&gl=KR&ceid=KR%3Ako
8,"개 고양이와 사료 호환…냥이 밥은 냥이에게, 멍이 밥은 멍이에게","[' 특히 단백질 섭취를 제한해야 하는 간질환이나 신장질환을 가진 개가 고양이 사료를 먹으면 심각한 문제가 생길 수 있다', ' 따라서 타우린이 빠진 개 사료를 고양이가 주식으로 먹게 되면 눈과 심장, 생식기가 제대로 기능하지 않을 수 있다', 'kr, 무단전재 및 재배포 금지]']","[['고양이', 553], ['사료', 377], ['사료', 301], ['단백질', 124], ['식성', 119], ['간식', 117], ['비타민', 117], ['며칠', 101], ['매일', 99], ['생기', 96], ['기사', 95], ['다르', 95], ['영양소', 90], ['수리', 89], ['돌이', 88], ['섭취', 86], ['육식', 85], ['주식', 84], ['위하', 82], ['타우린', 80]]",https://news.google.com/articles/CBMiN2h0dHBzOi8vd3d3Lm1rLmNvLmtyL25ld3MvY3VsdHVyZS92aWV3LzIwMjEvMTEvMTEwNTQwMy_SATlodHRwczovL20ubWsuY28ua3IvbmV3cy9jdWx0dXJlL3ZpZXctYW1wLzIwMjEvMTEvMTEwNTQwMy8?hl=ko&gl=KR&ceid=KR%3Ako
9,고양이와 물-고양이는 왜 목욕이 싫을까?,"[' 더군다나 일교차가 큰 사막에 살던 고양이의 조상은 몸에 물이 묻어 체온을 떨어뜨리면 생존 자체가 위협을 받게 되므로, 물에 젖는 것을 극도로 피했을 것이다', '어린 고양이라면 사회화 기간인 3개월령부터 물과 친해지는 훈련을 할 수 있다', 'kr, 무단전재 및 재배포 금지]']","[['고양이', 302], ['싫어하', 156], ['냄새', 118], ['매일', 118], ['고양이', 116], ['목욕', 113], ['정도', 108], ['이유', 107], ['영역', 107], ['방수', 100], ['품종', 99], ['자체', 98], ['경제', 91], ['기사', 91], ['생존', 91], ['사막', 85], ['체온', 79], ' ']",https://news.google.com/articles/CBMiN2h0dHBzOi8vd3d3Lm1rLmNvLmtyL25ld3MvY3VsdHVyZS92aWV3LzIwMjEvMTEvMTA5NjU4MS_SATlodHRwczovL20ubWsuY28ua3IvbmV3cy9jdWx0dXJlL3ZpZXctYW1wLzIwMjEvMTEvMTA5NjU4MS8?hl=ko&gl=KR&ceid=KR%3Ako
